DateT,As,as,GHI,DHI,DNI
01-Jan-2005 01:00:00,172.8,0,0,0,0
01-Jan-2005 02:00:00,171.5,0,0,0,0
01-Jan-2005 03:00:00,155.8,0,0,0,0
01-Jan-2005 04:00:00,142.5,0,0,0,0
01-Jan-2005 05:00:00,130.9,0,0,0,0
01-Jan-2005 06:00:00,121.5,0,0,0,0
01-Jan-2005 07:00:00,112.9,7.7,14,14,0
01-Jan-2005 08:00:00,105.5,19.4,87,87,0
01-Jan-2005 09:00:00,97.8,31.4,112,112,0
01-Jan-2005 10:00:00,89.8,43.7,192,191,1
01-Jan-2005 11:00:00,79.9,56,286,278,9
01-Jan-2005 12:00:00,64,67.7,310,306,4
01-Jan-2005 13:00:00,28.7,76.8,483,430,54
01-Jan-2005 14:00:00,326.3,76.2,335,320,15
01-Jan-2005 15:00:00,293.6,66.6,303,299,5
01-Jan-2005 16:00:00,279.1,54.8,250,249,2
01-Jan-2005 17:00:00,269.3,42.5,162,162,0
01-Jan-2005 18:00:00,261.3,30.2,70,70,0
01-Jan-2005 19:00:00,254.1,18.2,24,24,0
01-Jan-2005 20:00:00,246.3,6.6,7,7,0
01-Jan-2005 21:00:00,237.6,0,0,0,0
01-Jan-2005 22:00:00,228.1,0,0,0,0
01-Jan-2005 23:00:00,216.4,0,0,0,0
02-Jan-2005 00:00:00,202.5,0,0,0,0
02-Jan-2005 01:00:00,172.7,0,0,0,0
02-Jan-2005 02:00:00,171.5,0,0,0,0
02-Jan-2005 03:00:00,155.9,0,0,0,0
02-Jan-2005 04:00:00,142.5,0,0,0,0
02-Jan-2005 05:00:00,130.9,0,0,0,0
02-Jan-2005 06:00:00,121.5,0,0,0,0
02-Jan-2005 07:00:00,112.8,7.6,57,51,43
02-Jan-2005 08:00:00,105.5,19.2,180,143,112
02-Jan-2005 09:00:00,97.8,31.3,202,196,12
02-Jan-2005 10:00:00,89.8,43.6,251,245,9
02-Jan-2005 11:00:00,79.8,55.8,369,348,24
02-Jan-2005 12:00:00,64,67.5,735,473,283
02-Jan-2005 13:00:00,28.8,76.7,1160,216,970
02-Jan-2005 14:00:00,327,76.2,1195,259,964
02-Jan-2005 15:00:00,294.2,66.6,657,417,261
02-Jan-2005 16:00:00,279.2,54.8,363,329,41
