DateT,As,as,GHI,DHI,DNI
01-Jan-2005 01:00:00,7.59999999999999,0,0,0,0
01-Jan-2005 02:00:00,20.8,0,0,0,0
01-Jan-2005 03:00:00,44.8,0,0,0,0
01-Jan-2005 04:00:00,63.5,0,0,0,0
01-Jan-2005 05:00:00,78,0,0,0,0
01-Jan-2005 06:00:00,90.7,0,0,0,0
01-Jan-2005 07:00:00,101.9,0,0,0,0
01-Jan-2005 08:00:00,112.9,0,0,0,0
01-Jan-2005 09:00:00,124.5,0,0,0,0
01-Jan-2005 10:00:00,136.4,3.7,20,20,0
01-Jan-2005 11:00:00,148.8,9.3,53,53,0
01-Jan-2005 12:00:00,162.5,13.1,80,80,0
01-Jan-2005 13:00:00,176.6,14.9,94,93,3
01-Jan-2005 14:00:00,190.3,14.3,95,93,7
01-Jan-2005 15:00:00,204.3,11.5,71,71,1
01-Jan-2005 16:00:00,217.3,6.8,36,36,0
01-Jan-2005 17:00:00,229.5,0.4,1,1,0
01-Jan-2005 18:00:00,241.2,0,0,0,0
01-Jan-2005 19:00:00,252.3,0,0,0,0
01-Jan-2005 20:00:00,263.4,0,0,0,0
01-Jan-2005 21:00:00,275.2,0,0,0,0
01-Jan-2005 22:00:00,288.5,0,0,0,0
01-Jan-2005 23:00:00,305.1,0,0,0,0
02-Jan-2005 00:00:00,326.1,0,0,0,0
02-Jan-2005 01:00:00,7.69999999999999,0,0,0,0
02-Jan-2005 02:00:00,20.7,0,0,0,0
02-Jan-2005 03:00:00,44.7,0,0,0,0
02-Jan-2005 04:00:00,63.4,0,0,0,0
02-Jan-2005 05:00:00,77.9,0,0,0,0
02-Jan-2005 06:00:00,90.6,0,0,0,0
02-Jan-2005 07:00:00,101.8,0,0,0,0
02-Jan-2005 08:00:00,112.8,0,0,0,0
02-Jan-2005 09:00:00,124.4,0,0,0,0
02-Jan-2005 10:00:00,135.9,3.7,15,15,0
02-Jan-2005 11:00:00,148.7,9.3,42,42,0
02-Jan-2005 12:00:00,162.4,13.2,66,66,0
02-Jan-2005 13:00:00,176.5,14.9,78,78,0
02-Jan-2005 14:00:00,190.3,14.4,75,75,0
02-Jan-2005 15:00:00,204.2,11.6,57,57,0
02-Jan-2005 16:00:00,217.3,6.9,29,29,0
02-Jan-2005 17:00:00,229.5,0.5,1,1,0
02-Jan-2005 18:00:00,241.2,0,0,0,0
02-Jan-2005 19:00:00,252.3,0,0,0,0
02-Jan-2005 20:00:00,263.3,0,0,0,0
02-Jan-2005 21:00:00,275.2,0,0,0,0
02-Jan-2005 22:00:00,288.5,0,0,0,0
02-Jan-2005 23:00:00,305,0,0,0,0
03-Jan-2005 00:00:00,326.1,0,0,0,0
