DateT,As,as,GHI,DHI,DNI
01-Jan-2005 01:00:00,13.8,0,0,0,0
01-Jan-2005 02:00:00,73.6,0,0,0,0
01-Jan-2005 03:00:00,86.6,0,0,0,0
01-Jan-2005 04:00:00,93.7,0,0,0,0
01-Jan-2005 05:00:00,99.6,0,0,0,0
01-Jan-2005 06:00:00,105.5,0,0,0,0
01-Jan-2005 07:00:00,111.5,0,0,0,0
01-Jan-2005 08:00:00,118,2.4,14,14,0
01-Jan-2005 09:00:00,126.5,13.5,137,90,198
01-Jan-2005 10:00:00,136.6,23.5,268,193,189
01-Jan-2005 11:00:00,149,31.5,418,200,417
01-Jan-2005 12:00:00,164.6,36.7,451,264,313
01-Jan-2005 13:00:00,181.4,38.3,535,241,474
01-Jan-2005 14:00:00,198.5,36,580,158,720
01-Jan-2005 15:00:00,213.4,30.1,426,188,473
01-Jan-2005 16:00:00,225.5,21.7,324,90,634
01-Jan-2005 17:00:00,235.3,11.4,150,89,308
01-Jan-2005 18:00:00,243.3,0.1,4,4,0
01-Jan-2005 19:00:00,250.1,0,0,0,0
01-Jan-2005 20:00:00,256,0,0,0,0
01-Jan-2005 21:00:00,261.4,0,0,0,0
01-Jan-2005 22:00:00,267.4,0,0,0,0
01-Jan-2005 23:00:00,275.3,0,0,0,0
02-Jan-2005 00:00:00,291.2,0,0,0,0
02-Jan-2005 01:00:00,12.7,0,0,0,0
02-Jan-2005 02:00:00,73,0,0,0,0
02-Jan-2005 03:00:00,86.4,0,0,0,0
02-Jan-2005 04:00:00,93.6,0,0,0,0
02-Jan-2005 05:00:00,99.6,0,0,0,0
02-Jan-2005 06:00:00,105,0,0,0,0
02-Jan-2005 07:00:00,111.4,0,0,0,0
02-Jan-2005 08:00:00,117.9,2.3,9,9,0
02-Jan-2005 09:00:00,126.4,13.5,158,104,231
02-Jan-2005 10:00:00,136.5,23.5,335,111,562
02-Jan-2005 11:00:00,148.9,31.5,502,95,779
02-Jan-2005 12:00:00,164.6,36.8,598,106,822
02-Jan-2005 13:00:00,181.3,38.4,582,187,636
02-Jan-2005 14:00:00,198.4,36.1,524,182,581
02-Jan-2005 15:00:00,213.4,30.2,401,190,418
02-Jan-2005 16:00:00,225.5,21.8,289,114,473
02-Jan-2005 17:00:00,235.3,11.6,136,87,244
02-Jan-2005 18:00:00,243.3,0.2,4,4,0
02-Jan-2005 19:00:00,250.1,0,0,0,0
02-Jan-2005 20:00:00,256,0,0,0,0
02-Jan-2005 21:00:00,261.5,0,0,0,0
02-Jan-2005 22:00:00,267.5,0,0,0,0
02-Jan-2005 23:00:00,275.4,0,0,0,0
