DateT,As,as,GHI,DHI,DNI
01-Jan-2005 01:00:00,7.59999999999999,0,0,0,0
01-Jan-2005 02:00:00,35.9,0,0,0,0
01-Jan-2005 03:00:00,57.6,0,0,0,0
01-Jan-2005 04:00:00,73.6,0,0,0,0
01-Jan-2005 05:00:00,86.5,0,0,0,0
01-Jan-2005 06:00:00,97.6,0,0,0,0
01-Jan-2005 07:00:00,108,0,0,0,0
01-Jan-2005 08:00:00,118.8,0,0,0,0
01-Jan-2005 09:00:00,129.9,2,5,5,0
01-Jan-2005 10:00:00,141.9,8.8,69,58,73
01-Jan-2005 11:00:00,155,14,122,106,68
01-Jan-2005 12:00:00,169,17,162,130,109
01-Jan-2005 13:00:00,183.2,17.7,161,134,89
01-Jan-2005 14:00:00,197.4,15.9,129,114,54
01-Jan-2005 15:00:00,211.2,11.8,85,79,30
01-Jan-2005 16:00:00,223.5,5.8,36,35,6
01-Jan-2005 17:00:00,235.3,0,0,0,0
01-Jan-2005 18:00:00,246.2,0,0,0,0
01-Jan-2005 19:00:00,256.6,0,0,0,0
01-Jan-2005 20:00:00,267.5,0,0,0,0
01-Jan-2005 21:00:00,279.3,0,0,0,0
01-Jan-2005 22:00:00,293.4,0,0,0,0
01-Jan-2005 23:00:00,311.6,0,0,0,0
02-Jan-2005 00:00:00,336.5,0,0,0,0
02-Jan-2005 01:00:00,7.40000000000001,0,0,0,0
02-Jan-2005 02:00:00,35.7,0,0,0,0
02-Jan-2005 03:00:00,57.5,0,0,0,0
02-Jan-2005 04:00:00,73.5,0,0,0,0
02-Jan-2005 05:00:00,86,0,0,0,0
02-Jan-2005 06:00:00,97.5,0,0,0,0
02-Jan-2005 07:00:00,107.9,0,0,0,0
02-Jan-2005 08:00:00,118.7,0,0,0,0
02-Jan-2005 09:00:00,129.8,2,2,2,0
02-Jan-2005 10:00:00,141.9,8.9,52,52,0
02-Jan-2005 11:00:00,154.9,14,81,81,0
02-Jan-2005 12:00:00,168.9,17.1,111,110,5
02-Jan-2005 13:00:00,183.2,17.7,126,122,13
02-Jan-2005 14:00:00,197.4,16,109,106,10
02-Jan-2005 15:00:00,211.1,11.9,95,84,53
02-Jan-2005 16:00:00,223.5,6,34,34,0
02-Jan-2005 17:00:00,235.3,0,0,0,0
02-Jan-2005 18:00:00,246.2,0,0,0,0
02-Jan-2005 19:00:00,256.6,0,0,0,0
02-Jan-2005 20:00:00,267.5,0,0,0,0
02-Jan-2005 21:00:00,279.3,0,0,0,0
02-Jan-2005 22:00:00,293.4,0,0,0,0
02-Jan-2005 23:00:00,311.5,0,0,0,0
03-Jan-2005 00:00:00,336.4,0,0,0,0
03-Jan-2005 01:00:00,6.90000000000001,0,0,0,0
03-Jan-2005 02:00:00,35.5,0,0,0,0
03-Jan-2005 03:00:00,56.9,0,0,0,0
03-Jan-2005 04:00:00,73,0,0,0,0
03-Jan-2005 05:00:00,85.9,0,0,0,0
03-Jan-2005 06:00:00,97.4,0,0,0,0
03-Jan-2005 07:00:00,107.8,0,0,0,0
03-Jan-2005 08:00:00,118.6,0,0,0,0
03-Jan-2005 09:00:00,129.7,2.1,8,8,0
03-Jan-2005 10:00:00,141.8,8.9,86,63,147
03-Jan-2005 11:00:00,154.8,14.1,150,87,259
03-Jan-2005 12:00:00,168.8,17.1,198,113,291
03-Jan-2005 13:00:00,183.1,17.8,205,119,281
03-Jan-2005 14:00:00,197.3,16.1,181,97,303
03-Jan-2005 15:00:00,211.1,12,110,89,103
03-Jan-2005 16:00:00,223.5,6.1,44,40,43
03-Jan-2005 17:00:00,235.3,0,0,0,0
03-Jan-2005 18:00:00,246.2,0,0,0,0
03-Jan-2005 19:00:00,256.6,0,0,0,0
03-Jan-2005 20:00:00,267.4,0,0,0,0
03-Jan-2005 21:00:00,279.3,0,0,0,0
03-Jan-2005 22:00:00,293.3,0,0,0,0
03-Jan-2005 23:00:00,311.5,0,0,0,0
04-Jan-2005 00:00:00,336.3,0,0,0,0
04-Jan-2005 01:00:00,6.69999999999999,0,0,0,0
04-Jan-2005 02:00:00,35,0,0,0,0
04-Jan-2005 03:00:00,56.8,0,0,0,0
04-Jan-2005 04:00:00,72.8,0,0,0,0
04-Jan-2005 05:00:00,85.8,0,0,0,0
04-Jan-2005 06:00:00,96.9,0,0,0,0
04-Jan-2005 07:00:00,107.7,0,0,0,0
04-Jan-2005 08:00:00,118.5,0,0,0,0
04-Jan-2005 09:00:00,129.7,2.1,4,4,0
04-Jan-2005 10:00:00,141.7,8.9,32,32,0
04-Jan-2005 11:00:00,154.8,14.1,59,59,0
04-Jan-2005 12:00:00,168.8,17.2,75,75,0
04-Jan-2005 13:00:00,183,17.9,68,68,0
04-Jan-2005 14:00:00,197.3,16.2,70,70,0
04-Jan-2005 15:00:00,211,12.2,49,49,0
04-Jan-2005 16:00:00,223.4,6.2,22,22,0
04-Jan-2005 17:00:00,235.2,0,1,1,0
04-Jan-2005 18:00:00,246.2,0,0,0,0
04-Jan-2005 19:00:00,256.6,0,0,0,0
04-Jan-2005 20:00:00,267.4,0,0,0,0
04-Jan-2005 21:00:00,279.3,0,0,0,0
04-Jan-2005 22:00:00,293.3,0,0,0,0
04-Jan-2005 23:00:00,311.4,0,0,0,0
05-Jan-2005 00:00:00,336.2,0,0,0,0
05-Jan-2005 01:00:00,6.59999999999999,0,0,0,0
05-Jan-2005 02:00:00,34.8,0,0,0,0
05-Jan-2005 03:00:00,56.6,0,0,0,0
05-Jan-2005 04:00:00,72.7,0,0,0,0
05-Jan-2005 05:00:00,85.7,0,0,0,0
05-Jan-2005 06:00:00,96.8,0,0,0,0
05-Jan-2005 07:00:00,107.6,0,0,0,0
05-Jan-2005 08:00:00,118.5,0,0,0,0
05-Jan-2005 09:00:00,129.6,2.1,3,3,0
05-Jan-2005 10:00:00,141.6,9,72,59,81
05-Jan-2005 11:00:00,154.7,14.2,104,97,28
05-Jan-2005 12:00:00,168.7,17.3,108,107,3
05-Jan-2005 13:00:00,182.6,18,70,70,0
05-Jan-2005 14:00:00,197.2,16.3,63,63,0
05-Jan-2005 15:00:00,211,12.3,52,52,0
05-Jan-2005 16:00:00,223.4,6.4,23,23,0
05-Jan-2005 17:00:00,235.2,0,1,1,0
05-Jan-2005 18:00:00,246.2,0,0,0,0
05-Jan-2005 19:00:00,256.6,0,0,0,0
05-Jan-2005 20:00:00,267.4,0,0,0,0
05-Jan-2005 21:00:00,279.3,0,0,0,0
05-Jan-2005 22:00:00,293.3,0,0,0,0
05-Jan-2005 23:00:00,311.4,0,0,0,0
06-Jan-2005 00:00:00,336.1,0,0,0,0
06-Jan-2005 01:00:00,6.40000000000001,0,0,0,0
06-Jan-2005 02:00:00,34.7,0,0,0,0
06-Jan-2005 03:00:00,56.5,0,0,0,0
06-Jan-2005 04:00:00,72.6,0,0,0,0
06-Jan-2005 05:00:00,85.6,0,0,0,0
06-Jan-2005 06:00:00,96.7,0,0,0,0
06-Jan-2005 07:00:00,107.5,0,0,0,0
06-Jan-2005 08:00:00,118,0,0,0,0
06-Jan-2005 09:00:00,129.5,2.2,8,8,0
06-Jan-2005 10:00:00,141.5,9.1,93,64,179
06-Jan-2005 11:00:00,154.6,14.3,149,109,161
06-Jan-2005 12:00:00,168.6,17.4,202,105,323
06-Jan-2005 13:00:00,182.5,18.2,207,123,270
06-Jan-2005 14:00:00,197.2,16.5,188,108,282
06-Jan-2005 15:00:00,210.6,12.4,137,72,302
06-Jan-2005 16:00:00,223.4,6.5,71,46,228
06-Jan-2005 17:00:00,235.2,0,1,1,0
06-Jan-2005 18:00:00,246.2,0,0,0,0
06-Jan-2005 19:00:00,256.6,0,0,0,0
06-Jan-2005 20:00:00,267.5,0,0,0,0
06-Jan-2005 21:00:00,279.3,0,0,0,0
06-Jan-2005 22:00:00,293.3,0,0,0,0
